,Angle,Speed,Start Time,Stop Time,Time
0,99,90,0,0,1567921657.917044
1,97,90,0,0,1567921657.994529
2,96,90,0,0,1567921658.007366
3,94,90,0,0,1567921658.02447
4,89,90,0,0,1567921658.045864
5,83,90,0,0,1567921658.061145
6,79,90,0,0,1567921658.073262
7,78,90,0,0,1567921658.10651
8,77,90,0,0,1567921658.123375
9,78,90,0,0,1567921658.14179
10,80,90,0,0,1567921658.154155
11,83,90,0,0,1567921658.168137
12,82,90,0,0,1567921658.18202
13,84,90,0,0,1567921658.290173
14,85,90,0,0,1567921658.300946
15,89,90,0,0,1567921658.338255
16,96,90,0,0,1567921658.348895
17,106,90,0,0,1567921658.360343
18,108,90,0,0,1567921658.386778
19,111,90,0,0,1567921658.398186
20,113,90,0,0,1567921658.409567
21,112,90,0,0,1567921658.470468
22,111,90,0,0,1567921658.497574
23,110,90,0,0,1567921658.508216
24,109,90,0,0,1567921658.552027
25,108,90,0,0,1567921658.768405
26,105,90,0,0,1567921658.777522
27,100,90,0,0,1567921658.810978
28,88,90,0,0,1567921658.822975
29,93,90,0,0,1567921658.83209
30,85,90,0,0,1567921658.88873
31,82,90,0,0,1567921658.945374
32,83,90,0,0,1567921658.939146
33,81,90,0,0,1567921658.960878
34,80,90,0,0,1567921658.972174
35,79,90,0,0,1567921658.987836
36,78,90,0,0,1567921659.029165
37,77,90,0,0,1567921659.084894
38,76,90,0,0,1567921659.416914
39,77,90,0,0,1567921659.427458
40,78,90,0,0,1567921659.453852
41,80,90,0,0,1567921659.505713
42,83,90,0,0,1567921659.516036
43,89,90,0,0,1567921659.528538
44,93,90,0,0,1567921659.542276
45,94,90,0,0,1567921659.558922
46,95,90,0,0,1567921659.640709
47,96,90,0,0,1567921659.652467
48,97,90,0,0,1567921659.661927
49,98,90,0,0,1567921659.751541
50,99,90,0,0,1567921659.857011
51,101,94,0,0,1567921660.601684
52,98,94,0,0,1567921660.610782
53,97,94,0,0,1567921660.622291
54,95,94,0,0,1567921660.632178
55,92,94,0,0,1567921660.674422
56,89,94,0,0,1567921660.758212
57,87,94,0,0,1567921660.769519
58,85,94,0,0,1567921660.779374
59,83,94,0,0,1567921660.791388
60,81,94,0,0,1567921660.802154
61,80,94,0,0,1567921660.858769
62,79,94,0,0,1567921660.913293
63,79,94,0,0,1567921660.92503
64,78,94,0,0,1567921660.934108
65,86,94,0,0,1567921660.94739
66,82,94,0,0,1567921660.957125
67,92,94,0,0,1567921661.094723
68,98,94,0,0,1567921661.104123
69,102,94,0,0,1567921661.1346
70,106,94,0,0,1567921661.150456
71,110,94,0,0,1567921661.17279
72,112,94,0,0,1567921661.254728
73,114,94,0,0,1567921661.265436
74,115,94,0,0,1567921661.277724
75,114,94,0,0,1567921661.291074
76,113,94,0,0,1567921661.302282
77,111,94,0,0,1567921661.372663
78,108,94,0,0,1567921661.385753
79,103,94,0,0,1567921661.404914
80,99,94,0,0,1567921661.420024
81,96,94,0,0,1567921661.431149
82,92,94,0,0,1567921661.444371
83,88,94,0,0,1567921661.470922
84,85,94,0,0,1567921661.516475
85,82,94,0,0,1567921661.530203
86,81,94,0,0,1567921661.540154
87,80,94,0,0,1567921661.598295
88,79,94,0,0,1567921661.607991
89,80,94,0,0,1567921661.624023
90,81,94,0,0,1567921661.644677
91,82,94,0,0,1567921661.656435
92,83,94,0,0,1567921661.689608
93,84,94,0,0,1567921661.716624
94,86,94,0,0,1567921661.798056
95,89,94,0,0,1567921661.808603
96,91,94,0,0,1567921661.819001
97,93,94,0,0,1567921661.831136
98,95,94,0,0,1567921661.843403
99,94,94,0,0,1567921661.853523
100,96,94,0,0,1567921661.919434
101,95,94,0,0,1567921661.933282
102,94,94,0,0,1567921661.952325
103,91,94,0,0,1567921661.988792
104,93,94,0,0,1567921661.997913
105,90,94,0,0,1567921662.00954
106,87,94,0,0,1567921662.09364
107,89,94,0,0,1567921662.103282
108,86,94,0,0,1567921662.112987
109,88,94,0,0,1567921662.121805
110,93,90,0,0,1567921748.326846
111,91,90,0,0,1567921748.36829
112,90,90,0,0,1567921748.379373
113,84,90,0,0,1567921748.407441
114,82,90,0,0,1567921748.418008
115,79,90,0,0,1567921748.436386
116,77,90,0,0,1567921748.448084
117,75,90,0,0,1567921748.495195
118,74,90,0,0,1567921748.48867
119,73,90,0,0,1567921748.524554
120,72,90,0,0,1567921748.549293
121,74,90,0,0,1567921748.589408
122,78,90,0,0,1567921748.604215
123,81,90,0,0,1567921748.646242
124,86,90,0,0,1567921748.656166
125,90,90,0,0,1567921748.668615
126,93,90,0,0,1567921748.685028
127,98,90,0,0,1567921748.761519
128,96,90,0,0,1567921748.777599
129,102,90,0,0,1567921748.796655
130,100,90,0,0,1567921748.804072
131,103,90,0,0,1567921748.823931
132,104,90,0,0,1567921748.903279
133,105,90,0,0,1567921748.915871
134,106,90,0,0,1567921748.924385
135,105,90,0,0,1567921749.147354
136,104,90,0,0,1567921749.157213
137,102,90,0,0,1567921749.167688
138,100,90,0,0,1567921749.188641
139,97,90,0,0,1567921749.200726
140,95,90,0,0,1567921749.219309
141,93,90,0,0,1567921749.260671
142,91,90,0,0,1567921749.288583
143,90,90,0,0,1567921749.319337
144,89,90,0,0,1567921749.340334
145,89,90,0,0,1567921749.411732
146,88,90,0,0,1567921749.429089
147,90,90,0,0,1567921749.442774
148,91,90,0,0,1567921749.452677
149,93,90,0,0,1567921749.464927
150,95,90,0,0,1567921749.47846
151,97,90,0,0,1567921749.569707
152,98,90,0,0,1567921749.584564
153,99,90,0,0,1567921749.60819
154,100,90,0,0,1567921749.626667
155,98,90,0,0,1567921750.630584
156,95,90,0,0,1567921750.641545
157,91,90,0,0,1567921750.652648
158,87,90,0,0,1567921750.666954
159,84,90,0,0,1567921750.680445
160,81,90,0,0,1567921750.697306
161,79,90,0,0,1567921750.754186
162,76,90,0,0,1567921750.768617
163,75,90,0,0,1567921750.849345
164,73,90,0,0,1567921750.86113
165,72,90,0,0,1567921750.873541
166,74,90,0,0,1567921750.881786
167,74,90,0,0,1567921750.961223
168,80,90,0,0,1567921750.982659
169,76,90,0,0,1567921750.993454
170,83,90,0,0,1567921751.008012
171,86,90,0,0,1567921751.018885
172,90,90,0,0,1567921751.03032
173,93,90,0,0,1567921751.14901
174,91,90,0,0,1567921751.156185
175,95,90,0,0,1567921751.169709
176,96,90,0,0,1567921751.181953
177,98,90,0,0,1567921751.199118
178,97,90,0,0,1567921751.199546
179,99,90,0,0,1567921751.293835
180,98,90,0,0,1567921751.317758
